SAFRA,FAIXA_RISCO,count,score_mean,score_prob_mean
202502,1,86013,947.1515352330462,0.05284728044398969
202502,2,86294,903.2188564674253,0.09677184554119884
202502,3,85731,851.5478181754557,0.14844917658573678
202502,4,86013,775.9968144350273,0.22401332539259003
202502,5,86013,621.5753083836164,0.3784159159203649
202503,1,88862,946.1483198667597,0.05385140666324851
202503,2,88861,901.5008046274519,0.09848829228870046
202503,3,88861,849.1164515366696,0.15088610831289112
202503,4,88862,774.0003601089329,0.2260088525266341
202503,5,88860,623.2080913796984,0.3767866044765195
