MODEL,BASE,AUC,KS
LR,TREINO - 202410,0.74028,0.35462
LR,TREINO - 202411,0.74142,0.35993
LR,TREINO - 202412,0.72704,0.33665
LR,TREINO / VAL - 202501,0.72996,0.34261
LR,TREINO (CONS),0.73464,0.34774
LR,OOS - 202410,0.74096,0.35769
LR,OOS - 202411,0.74244,0.36111
LR,OOS - 202412,0.72648,0.33519
LR,OOS - 202501,0.72902,0.33846
LR,OOS (CONS),0.73469,0.34789
LR,OOT - 202502,0.71728,0.3223
LR,OOT - 202503,0.72395,0.33277
LR,OOT GERAL (CONS),0.72073,0.32767
LGBM,TREINO - 202410,0.75304,0.37079
LGBM,TREINO - 202411,0.75432,0.37654
LGBM,TREINO - 202412,0.74117,0.35687
LGBM,TREINO / VAL - 202501,0.74356,0.36042
LGBM,TREINO (CONS),0.74803,0.36571
LGBM,OOS - 202410,0.75001,0.36961
LGBM,OOS - 202411,0.75129,0.3714
LGBM,OOS - 202412,0.73561,0.34734
LGBM,OOS - 202501,0.73805,0.34971
LGBM,OOS (CONS),0.74374,0.35889
LGBM,OOT - 202502,0.72732,0.33402
LGBM,OOT - 202503,0.73313,0.34528
LGBM,OOT GERAL (CONS),0.73032,0.33974
