feature,importance
num__TARGET_SCORE_02,285
num__TARGET_SCORE_01,131
num__REC_SCORE_RISCO,107
num__REC_DIAS_ENTRE_RECARGAS,88
num__REC_DIAS_DESDE_ULTIMA_RECARGA,88
num__REC_VLR_REAL_STDDEV,83
num__REC_COEF_VARIACAO_REAL,76
num__REC_TAXA_CARTAO_ONLINE,75
num__REC_TAXA_STATUS_A,68
num__REC_QTD_PLAT_AUTOC,65
cat__3,64
num__FAT_DIAS_MEDIO_CRIACAO_VENCIMENTO,58
cat__48,56
num__REC_QTD_INST_DIST_REG,49
num__REC_VLR_CREDITO_STDDEV,48
num__REC_QTD_LINHAS,47
num__REC_QTD_CARTAO_CHIPPRE,46
cat__46,45
cat__2,44
num__FAT_TAXA_PRIMEIRA_FAT,44
num__REC_FREQ_RECARGA_DIARIA,42
num__FAT_DIAS_ATRASO_MIN,42
num__FAT_QTD_FATURAS_PRIMEIRA,41
num__FAT_DIAS_DESDE_ULTIMA_FAT,41
num__REC_QTD_CARTAO_ONLINE,40
num__DIAS_VAR_12,40
num__REC_TAXA_PLAT_PREPG,38
num__PAG_DIAS_DESDE_ULTIMA_FATURA,38
cat__32,38
cat__40,38
num__REC_QTD_PLANOS,36
cat__35,36
cat__145,34
num__PAG_VLR_PAGAMENTO_FATURA_STDDEV,31
num__FAT_DIAS_DESDE_PRIMEIRA_FAT,30
num__PAG_TAXA_FORMA_PA,29
num__var_90,29
cat__4,29
num__var_28,27
cat__18,27
num__PAG_DIAS_ENTRE_FATURAS,27
num__var_73,26
num__FAT_DIAS_MAX_CRIACAO_VENCIMENTO,26
cat__116,26
cat__5,26
num__PAG_QTD_PAGAMENTOS_TOTAL,25
cat__125,25
num__REC_QTD_RECARGAS_TOTAL,24
num__REC_COEF_VARIACAO_CREDITO,24
num__var_82,24
cat__19,24
num__var_85,24
num__FAT_DIAS_ATRASO_MEDIO,23
num__PAG_QTD_AREAS,22
cat__39,21
cat__6,20
num__REC_QTD_STATUS_ZB1,20
num__PAG_TAXA_FORMA_PB,19
num__PAG_DIAS_MEDIO_DEPOSITO,18
num__var_05,18
cat__33,17
cat__53,17
cat__24,16
num__PAG_TAXA_PAGAMENTOS_COM_JUROS,15
cat__91,15
cat__135,15
cat__56,15
cat__43,14
cat__146,14
cat__86,14
cat__95,13
cat__9,13
cat__7,13
num__var_86,13
num__PAG_COEF_VARIACAO_PAGAMENTO,13
num__PAG_TAXA_STATUS_C,13
num__REC_TAXA_PLAT_CONTROLE,12
num__var_04,12
num__PAG_QTD_STATUS_R,12
cat__105,12
cat__74,12
cat__20,11
num__FAT_DIAS_ATRASO_MAX,11
cat__25,11
cat__17,11
cat__38,11
num__FAT_QTD_FATURAS_PCCR_W,10
num__REC_QTD_PLAT_CONTROLE,10
num__var_68,10
num__var_44,10
cat__59,10
num__REC_QTD_PLATAFORMAS,10
cat__128,10
num__PAG_TAXA_FATURA_ABERTA,9
cat__28,9
cat__75,9
cat__114,9
num__REC_QTD_PLAT_CTLFC,9
cat__60,9
num__FAT_DIAS_DESDE_ATIVACAO_CONTA,8
cat__102,8
cat__54,8
num__FAT_QTD_FAT_AUTOC,8
num__FAT_TAXA_ACA,8
num__PAG_TAXA_STATUS_R,8
num__FAT_SCORE_RISCO,7
cat__141,7
cat__1,7
cat__143,7
num__var_26,7
cat__11,7
cat__61,7
num__FAT_QTD_FAT_POSBL,7
cat__87,7
cat__47,7
num__PAG_QTD_PAGAMENTOS_COM_JUROS,7
num__PAG_QTD_BANCOS,7
num__REC_FLAG_BAIXO_RISCO,7
cat__29,7
cat__31,6
cat__22,6
cat__83,6
cat__8,6
cat__136,6
cat__73,6
cat__15,6
cat__64,6
cat__23,6
cat__21,6
num__var_03,6
num__PAG_QTD_STATUS_C,6
num__FAT_TAXA_ATRASO,6
num__FAT_QTD_FATURAS,6
num__FAT_QTD_FAT_POSPG,6
num__REC_QTD_INSTITUICOES,6
cat__77,5
cat__120,5
cat__42,5
cat__36,5
num__REC_TAXA_CARTAO_PROMO,5
cat__34,5
cat__30,5
num__REC_QTD_CARTAO_PROMO,5
cat__108,5
num__FAT_QTD_SAFRAS_DISTINTAS,5
cat__10,5
cat__142,5
num__var_49,5
cat__13,4
cat__127,4
cat__67,4
cat__78,4
cat__41,4
cat__81,4
num__PAG_QTD_FATURAS_DISTINTAS,4
cat__88,4
cat__37,4
cat__55,4
cat__14,4
cat__138,4
cat__93,4
cat__137,4
cat__101,4
cat__100,3
num__PAG_QTD_FORMA_PB,3
cat__133,3
cat__104,3
cat__66,3
cat__65,3
cat__106,3
cat__58,3
num__REC_QTD_PLAT_FLEXD,3
cat__0,3
num__PAG_TAXA_FORMA_DD,3
num__PAG_DIAS_MEDIO_BAIXA,3
cat__27,3
num__FAT_TAXA_FRAUDE,3
cat__16,3
num__FAT_QTD_FAT_PREPG,3
cat__99,2
cat__119,2
cat__26,2
num__FAT_QTD_FATURAS_PDD,2
cat__107,2
cat__109,2
cat__112,2
cat__70,2
cat__113,2
cat__90,2
cat__84,2
cat__123,2
cat__49,2
num__var_45,2
cat__50,2
num__PAG_QTD_FORMA_PA,2
cat__110,1
num__FAT_QTD_FATURAS_ATRASADAS,1
cat__134,1
cat__124,1
num__var_47,1
cat__103,1
cat__111,1
num__PAG_FLAG_BAIXO_RISCO,1
cat__130,1
cat__96,1
num__FAT_QTD_FATURAS_NAO_ISENTAS,1
cat__115,1
cat__51,1
cat__12,1
cat__57,1
num__PAG_QTD_FORMAS_PAGAMENTO,1
cat__85,1
