feature,iv
TARGET_SCORE_02,0.637688
TARGET_SCORE_01,0.427105
FAT_TAXA_PRIMEIRA_FAT,0.367717
FAT_DIAS_DESDE_ATIVACAO_CONTA,0.342746
FAT_DIAS_ATRASO_MAX,0.327928
FAT_DIAS_DESDE_PRIMEIRA_FAT,0.321916
FAT_VLR_PRIMEIRA_FAT,0.295664
FAT_DIAS_ENTRE_PRIMEIRA_ULTIMA_FAT,0.269993
FAT_QTD_FATURAS_PRIMEIRA,0.251913
PAG_QTD_MESES_ATIVOS,0.247714
FAT_QTD_FATURAS_NAO_ISENTAS,0.240973
PAG_INDICE_CONCENTRACAO,0.205216
FAT_AMPLITUDE_RELATIVA_FAT,0.200951
PAG_VLR_ALOCACAO_PYM,0.182509
PAG_VLR_TICKET_MEDIO_CONTRATO,0.180823
PAG_VLR_FATURA_FECHADA,0.178945
PAG_VLR_PAGAMENTO_FATURA_TOTAL,0.177661
PAG_VLR_PAGAMENTO_ITEM_TOTAL,0.177661
PAG_QTD_FATURA_FECHADA,0.17189
PAG_QTD_FATURAS_DISTINTAS,0.171803
PAG_QTD_PAGAMENTOS_TOTAL,0.170671
PAG_QTD_ALOCACAO_PYM,0.166323
PAG_VLR_PAGAMENTO_CREDITO_TOTAL,0.165594
FAT_COEF_VAR_FAT_BRUTO,0.159445
REC_SCORE_RISCO,0.157096
FAT_QTD_SAFRAS_DISTINTAS,0.155336
REC_SHARE_CARTAO_ONLINE,0.150805
PAG_VLR_BAIXA_ATIVIDADE_TOTAL,0.150357
PAG_VLR_ATUAL_PAGAMENTO_TOTAL,0.15033
PAG_VLR_ORIGINAL_PAGAMENTO_TOTAL,0.150311
var_35,0.149881
FAT_QTD_FATURAS,0.146259
PAG_DIAS_ENTRE_FATURAS,0.146173
FAT_QTD_FATURAS_SEM_ACA,0.145427
FAT_TAXA_ATRASO,0.145233
FAT_INDICE_CONCENTRACAO_FAT,0.143002
REC_TAXA_SOS,0.138533
var_41,0.135439
REC_VLR_CREDITO_MIN,0.134448
FAT_VLR_FAT_BRUTO_STDDEV,0.133766
FAT_VLR_FAT_LIQ_JM_MC_TOTAL,0.131368
FAT_VLR_FAT_ABERTO_LIQ_TOTAL,0.131343
FAT_VLR_FAT_ABERTO_TOTAL,0.129924
REC_QTD_MESES_ATIVOS,0.126988
FAT_QTD_FATURAS_PCCR_C,0.120081
FAT_QTD_FATURAS_SEM_PDD,0.118647
FAT_INDICE_CONCENTRACAO_PLATAFORMA,0.117908
var_33,0.11767
FAT_QTD_FATURAS_REGULAR,0.116639
REC_QTD_PLAT_AUTOC,0.113531
var_34,0.110041
FAT_QTD_FATURAS_ATRASADAS,0.106031
FAT_VLR_FAT_SEM_PDD,0.103212
FAT_QTD_FATURAS_EM_DIA,0.10293
PAG_DIAS_DESDE_ULTIMA_FATURA,0.102558
FAT_VLR_FAT_REGULAR,0.101601
FAT_VLR_FAT_BRUTO_TOTAL,0.101458
var_02,0.099708
FAT_TAXA_CREDITO_BRUTO,0.096199
FAT_VLR_FAT_CREDITO_MEDIO,0.096171
FAT_TAXA_ABERTO_BRUTO,0.094971
var_62,0.091452
FAT_VLR_FAT_LIQUIDO_TOTAL,0.09109
REC_TAXA_CARTAO_PROMO,0.090994
FAT_DIAS_DESDE_ULTIMA_FAT,0.087918
REC_VLR_BONUS_TOTAL,0.087632
REC_TAXA_STATUS_A,0.085949
REC_VLR_CREDITO_MEDIO,0.085559
REC_TAXA_STATUS_ZB1,0.084768
var_32,0.083452
var_05,0.081373
REC_TAXA_CARTAO_ONLINE,0.081207
REC_VLR_BONUS_MEDIO,0.081138
REC_QTD_SOS,0.080393
REC_TAXA_PLAT_AUTOC,0.080369
REC_VLR_REAL_TOTAL,0.080304
var_08,0.078963
PAG_SCORE_RISCO,0.078927
REC_VLR_SOS_TOTAL,0.07729
FAT_VLR_MEDIO_PRIMEIRA_FAT,0.076112
REC_COEF_VARIACAO_REAL,0.075388
PAG_COEF_VARIACAO_PAGAMENTO,0.074306
REC_VLR_REAL_MEDIO,0.072328
REC_VLR_BONUS_MAX,0.071026
