feature,importance
num__TARGET_SCORE_02,0.6490989391193682
num__REC_VLR_CREDITO_MIN,0.22557154757773515
num__REC_VLR_BONUS_TOTAL,0.19591996184681149
num__REC_TAXA_SOS,0.17348673196815842
num__REC_QTD_CLIENTES_DW,0.16987024977971246
num__FAT_QTD_FATURAS,0.16388793103344743
num__REC_QTD_PLAT_AUTOC,0.1350189454120503
num__FAT_VLR_FAT_LIQUIDO_MEDIO,0.13273197090271316
num__FAT_VLR_FAT_ABERTO_LIQ_MEDIO,0.13088294431919945
num__TARGET_SCORE_01,0.12844857798858506
num__FAT_QTD_FAT_AUTOC,0.12830278162877387
num__FAT_QTD_FAT_POSPG,0.12049759876499078
num__PAG_VLR_BAIXA_ATIVIDADE_TOTAL,0.11646457805204138
num__PAG_TAXA_FORMA_CA,0.11547536822030716
num__REC_QTD_RECARGAS_TOTAL,0.10174497536327017
num__REC_QTD_CARTAO_ONLINE,0.09941953857404265
num__REC_VLR_REAL_STDDEV,0.0904839218216916
num__FAT_TAXA_PRIMEIRA_FAT,0.09016063366038309
num__REC_TAXA_CARTAO_ONLINE,0.08712293613722648
num__PAG_TAXA_STATUS_R,0.08491295654319783
num__REC_TAXA_STATUS_A,0.08303289625516895
num__FAT_VLR_FAT_POSPG,0.08057296767698024
num__FAT_VLR_FAT_LIQUIDO_TOTAL,0.07775266926180723
num__REC_TAXA_CARTAO_PROMO,0.074038230245611
num__PAG_VLR_PAGAMENTO_FATURA_STDDEV,0.0666666719103402
num__var_50,0.062150699076062
num__REC_INDICE_CONCENTRACAO_CREDITO,0.05831826457296146
num__var_41,0.05713566876866439
num__FAT_VLR_MEDIO_PDD,0.05690115868505979
num__PAG_VLR_PAGAMENTO_CREDITO_MAX,0.054208221955388464
num__FAT_QTD_FAT_SEM_PLATAFORMA,0.05206040609794084
num__REC_QTD_PLANOS,0.046975852768960755
num__FAT_DIAS_ATRASO_MAX,0.046312055447143514
num__REC_SCORE_RISCO,0.04435124831213342
num__FAT_DIAS_ATRASO_MEDIO,0.043528548737806316
num__FAT_DIAS_MIN_CRIACAO_VENCIMENTO,0.041674768337624415
num__PAG_TAXA_FORMA_DD,0.041125120047784375
num__REC_DIAS_DESDE_ULTIMA_RECARGA,0.03931294926050309
num__REC_QTD_TIPOS_RECARGA,0.033307070984659175
num__REC_TAXA_PLAT_AUTOC,0.032575703899181914
num__FAT_DIAS_MAX_CRIACAO_VENCIMENTO,0.032427945747132716
num__FAT_QTD_FATURAS_PRIMEIRA,0.03164177989164881
num__PAG_VLR_ALOCACAO_PYM,0.030429496698310694
num__PAG_TAXA_FORMA_PB,0.030402811079576274
num__FAT_VLR_FAT_ABERTO_MAX,0.02912232283291359
num__var_73,0.02752346887307558
num__REC_QTD_INSTITUICOES,0.0262234769573815
num__REC_QTD_CARTAO_CHIPPRE,0.02437405028736307
num__REC_QTD_STATUS_ZB1,0.02423840665313502
num__REC_COEF_VARIACAO_CREDITO,0.023394483223920466
num__FAT_DIAS_DESDE_ATIVACAO_CONTA,0.023344306694322452
num__PAG_VLR_TICKET_MEDIO_CONTRATO,0.02313489690395232
num__PAG_COEF_VARIACAO_PAGAMENTO,0.02268215630282369
num__REC_SHARE_CARTAO_ONLINE,0.02213620204947358
num__REC_QTD_SOS,0.02179669784090167
num__FAT_TAXA_CREDITO_BRUTO,0.02025065065232834
num__FAT_VLR_FAT_BRUTO_STDDEV,0.020062633806528465
num__REC_FREQ_RECARGA_DIARIA,0.020039938021235177
num__REC_TAXA_STATUS_ZB1,0.01910734864165068
num__var_34,0.017717470384749284
num__FAT_VLR_FAT_AUTOC,0.017664968775377425
num__FAT_VLR_MEDIO_WO,0.016949483713853526
num__var_08,0.016319889525398656
num__PAG_VLR_TIPO_O,0.016086904126886546
num__PAG_QTD_FORMA_DD,0.014715913992975156
num__PAG_VLR_FORMA_PA,0.014545286555559036
num__PAG_QTD_STATUS_R,0.01451013256944792
num__FAT_INDICE_CONCENTRACAO_FAT,0.014148642990128808
num__var_67,0.013992173702653554
num__FAT_VLR_MEDIO_PRIMEIRA_FAT,0.013686618448076471
num__var_35,0.013638593776322417
num__var_62,0.013215958613383335
num__PAG_VLR_TIPO_D,0.013042349185830249
num__FAT_VLR_FAT_CREDITO_MEDIO,0.01277416781980644
num__var_89,0.012755778338503072
num__var_05,0.01258099597343535
num__PAG_VLR_JUROS_MULTAS_MEDIO,0.012234140067513551
num__REC_COEF_VARIACAO_REAL,0.01167326526854949
num__FAT_VLR_FAT_CREDITO_TOTAL,0.011506226567783828
num__PAG_VLR_ORIGINAL_PAGAMENTO_TOTAL,0.010658675511519323
num__FAT_QTD_FATURAS_SEM_PDD,0.01063091045400338
num__var_71,0.010490958836347758
num__FAT_TAXA_ATRASO,0.010198918436356142
num__var_02,0.009530105922355982
num__FAT_AMPLITUDE_RELATIVA_FAT,0.00943709785670381
num__FAT_QTD_FATURAS_ATRASADAS,0.00927127804773053
num__var_61,0.00904975446247711
num__PAG_TAXA_JUROS_SOBRE_PAGAMENTO,0.00845553841416536
num__var_32,0.008413400169679452
num__PAG_VLR_PAGAMENTO_CREDITO_MEDIO,0.007922851218042998
num__var_16,0.007663157783075878
num__FAT_TAXA_MULTA_JUROS,0.007175570282279377
num__FAT_VLR_PRIMEIRA_FAT,0.006921989806073835
num__PAG_VLR_STATUS_R,0.006786739591404691
num__PAG_TAXA_FORMA_PA,0.006697720972135933
num__PAG_TAXA_PAGAMENTOS_COM_JUROS,0.006179312125687093
num__REC_QTD_DIAS_RECARGA,0.00563565821496753
num__var_72,0.005376979442006897
num__var_82,0.00520767555294732
num__FAT_INDICE_CONCENTRACAO_PLATAFORMA,0.005167558862008948
num__PAG_QTD_FORMA_PA,0.005125653963197919
num__var_66,0.004007024739117713
num__REC_VLR_CREDITO_STDDEV,0.003869456360552633
num__REC_RATIO_BONUS_CREDITO,0.0031855683277132
num__REC_VLR_CREDITO_TOTAL,0.002788366966699544
num__REC_TAXA_PLAT_PREPG,0.00253702911956298
num__var_07,0.0011857971204458251
num__FAT_QTD_FATURAS_NAO_ISENTAS,0.0011778258671047612
num__FAT_DIAS_ATRASO_MIN,0.0010702569034999373
num__PAG_DIAS_DESDE_ULTIMA_FATURA,0.0004618816309838097
