feature,importance
num__TARGET_SCORE_02,32.1912284812645
num__TARGET_SCORE_01,5.534463788698759
num__REC_QTD_CLIENTES_DW,3.9909737104985967
num__REC_SCORE_RISCO,2.4567309034821165
num__REC_VLR_BONUS_TOTAL,1.8962980515306478
num__REC_DIAS_DESDE_ULTIMA_RECARGA,1.8717410787503008
num__FAT_TAXA_PRIMEIRA_FAT,1.8224630360998173
num__REC_TAXA_CARTAO_ONLINE,1.7965808970176265
num__REC_VLR_CREDITO_MIN,1.7117883965569274
num__REC_SHARE_CARTAO_ONLINE,1.6886744438536807
num__REC_TAXA_SOS,1.5558016555285916
num__REC_QTD_PLAT_AUTOC,1.524534790430315
num__FAT_DIAS_MAX_CRIACAO_VENCIMENTO,1.3846240245638655
num__REC_VLR_REAL_STDDEV,1.3682296085344878
num__REC_TAXA_STATUS_ZB1,1.3440625722868837
num__REC_VLR_CREDITO_TOTAL,1.3191263856398314
num__REC_TAXA_STATUS_A,1.277960569163089
num__REC_INDICE_CONCENTRACAO_CREDITO,1.2394110275436165
num__FAT_DIAS_MIN_CRIACAO_VENCIMENTO,1.070447024111182
num__REC_FREQ_RECARGA_DIARIA,1.0601044028876678
num__var_82,1.0180976054947313
num__FAT_DIAS_ATRASO_MIN,0.9267901130995222
num__FAT_DIAS_DESDE_ATIVACAO_CONTA,0.9004540542500653
num__var_73,0.8922877958581501
num__REC_VLR_CREDITO_STDDEV,0.8784736155284305
num__var_05,0.7774347757598395
num__REC_QTD_DIAS_RECARGA,0.7543511008302286
num__var_89,0.7536199664222841
num__REC_QTD_PLANOS,0.7146317586228361
num__REC_QTD_STATUS_ZB1,0.713336131175459
num__var_50,0.7073265512429057
num__REC_TAXA_PLAT_PREPG,0.6889012070497174
num__var_41,0.6547637668655139
num__FAT_VLR_PRIMEIRA_FAT,0.6513490242397325
num__REC_COEF_VARIACAO_REAL,0.6461717049289073
num__var_32,0.632685195268718
num__FAT_QTD_FATURAS_PRIMEIRA,0.6276369229110901
num__REC_TAXA_PLAT_AUTOC,0.6263270882975761
num__REC_QTD_CARTAO_CHIPPRE,0.6251126176758632
num__PAG_VLR_TIPO_O,0.61144742111328
num__var_35,0.5323771841352537
num__PAG_VLR_TICKET_MEDIO_CONTRATO,0.5165455653491176
num__PAG_VLR_ALOCACAO_PYM,0.500781849890029
num__var_34,0.49494290696680143
num__PAG_DIAS_DESDE_ULTIMA_FATURA,0.4846246435030261
num__var_16,0.46742641592316125
num__var_67,0.45338522356180977
num__REC_QTD_RECARGAS_TOTAL,0.4365419962330239
num__REC_QTD_CARTAO_ONLINE,0.42213301881583076
num__PAG_VLR_PAGAMENTO_CREDITO_MEDIO,0.4147001434996602
num__REC_QTD_INSTITUICOES,0.4075406793191707
num__PAG_VLR_JUROS_MULTAS_MEDIO,0.39410826552743994
num__REC_COEF_VARIACAO_CREDITO,0.3817846018549272
num__PAG_VLR_PAGAMENTO_FATURA_STDDEV,0.3807546874585337
num__var_62,0.37646596815308575
num__FAT_DIAS_ATRASO_MAX,0.372729324158878
num__var_66,0.36428579559202046
num__PAG_TAXA_JUROS_SOBRE_PAGAMENTO,0.3574784690397754
num__PAG_TAXA_PAGAMENTOS_COM_JUROS,0.3388661118727589
num__var_08,0.32003566589153604
num__FAT_VLR_FAT_AUTOC,0.2993340571014379
num__REC_TAXA_CARTAO_PROMO,0.29897653059594476
num__PAG_VLR_TIPO_D,0.2946797924323001
num__FAT_INDICE_CONCENTRACAO_PLATAFORMA,0.28453915152328885
num__FAT_TAXA_ATRASO,0.28077904598250675
num__var_02,0.27624285892907674
num__FAT_VLR_FAT_CREDITO_TOTAL,0.27415562765550433
num__REC_QTD_SOS,0.2686992325969494
num__FAT_VLR_FAT_ABERTO_MAX,0.26769905473016997
num__PAG_VLR_ORIGINAL_PAGAMENTO_TOTAL,0.26365732001834324
num__REC_RATIO_BONUS_CREDITO,0.25667280360833833
num__FAT_TAXA_MULTA_JUROS,0.24921113580846993
num__var_07,0.2428797200851237
num__PAG_COEF_VARIACAO_PAGAMENTO,0.21328866717972636
num__PAG_VLR_STATUS_R,0.20453115102596522
num__var_71,0.20364483759212768
num__FAT_QTD_FATURAS_SEM_PDD,0.20171446464978185
num__PAG_VLR_BAIXA_ATIVIDADE_TOTAL,0.19436708611074666
num__FAT_QTD_FAT_AUTOC,0.19239448823121824
num__PAG_QTD_STATUS_R,0.1922398687549893
num__PAG_TAXA_FORMA_PB,0.18905450254169495
num__PAG_QTD_FORMA_PA,0.1827555940588601
num__PAG_VLR_PAGAMENTO_CREDITO_MAX,0.17986509072447837
num__FAT_QTD_FAT_POSPG,0.17723881151901855
num__PAG_QTD_FORMA_DD,0.17094704201949015
num__FAT_DIAS_ATRASO_MEDIO,0.16190714707597276
num__var_61,0.16004678872071287
num__PAG_TAXA_FORMA_PA,0.15969106419029214
num__FAT_VLR_FAT_BRUTO_STDDEV,0.1510741497061777
num__PAG_TAXA_STATUS_R,0.15052800589461543
num__PAG_VLR_FORMA_PA,0.14775106486012754
num__FAT_VLR_MEDIO_PRIMEIRA_FAT,0.14498206073476505
num__FAT_INDICE_CONCENTRACAO_FAT,0.1439885780917622
num__FAT_AMPLITUDE_RELATIVA_FAT,0.14395724004261767
num__var_72,0.14170497286628103
num__PAG_TAXA_FORMA_CA,0.1340715843480142
num__FAT_QTD_FATURAS,0.13348963487996898
num__FAT_QTD_FATURAS_NAO_ISENTAS,0.1283141384257218
num__FAT_VLR_FAT_ABERTO_LIQ_MEDIO,0.12615918620717892
num__FAT_QTD_FAT_SEM_PLATAFORMA,0.12427973630929101
num__FAT_VLR_FAT_CREDITO_MEDIO,0.11990092639460798
num__PAG_TAXA_FORMA_DD,0.11638927871709746
num__FAT_VLR_FAT_LIQUIDO_MEDIO,0.09287737454846107
num__FAT_VLR_FAT_POSPG,0.08183241011908199
num__FAT_TAXA_CREDITO_BRUTO,0.07209292604163746
num__FAT_VLR_FAT_LIQUIDO_TOTAL,0.054933211021598455
num__REC_QTD_TIPOS_RECARGA,0.05400051617940938
num__FAT_QTD_FATURAS_ATRASADAS,0.04834333050947568
num__FAT_VLR_MEDIO_PDD,0.02416495681638636
num__FAT_VLR_MEDIO_WO,0.0
