feature,importance
num__TARGET_SCORE_02,3266
num__TARGET_SCORE_01,2734
num__REC_DIAS_DESDE_ULTIMA_RECARGA,1925
num__REC_FREQ_RECARGA_DIARIA,1835
num__REC_COEF_VARIACAO_REAL,1540
num__REC_SCORE_RISCO,1491
num__REC_VLR_CREDITO_STDDEV,1445
num__REC_VLR_BONUS_TOTAL,1417
num__REC_VLR_REAL_STDDEV,1409
num__REC_TAXA_CARTAO_ONLINE,1203
num__REC_SHARE_CARTAO_ONLINE,1187
num__REC_COEF_VARIACAO_CREDITO,1010
num__REC_RATIO_BONUS_CREDITO,1010
num__FAT_DIAS_DESDE_ATIVACAO_CONTA,969
num__REC_VLR_CREDITO_TOTAL,967
num__REC_QTD_DIAS_RECARGA,932
num__var_41,907
num__REC_QTD_CLIENTES_DW,902
num__REC_INDICE_CONCENTRACAO_CREDITO,898
num__PAG_DIAS_DESDE_ULTIMA_FATURA,871
num__REC_TAXA_SOS,852
num__var_32,794
num__var_62,786
num__REC_QTD_RECARGAS_TOTAL,764
num__PAG_VLR_PAGAMENTO_CREDITO_MEDIO,755
num__PAG_VLR_TICKET_MEDIO_CONTRATO,751
num__var_50,742
num__FAT_DIAS_ATRASO_MEDIO,734
num__FAT_INDICE_CONCENTRACAO_PLATAFORMA,720
num__PAG_COEF_VARIACAO_PAGAMENTO,714
num__var_67,702
num__var_34,673
num__REC_VLR_CREDITO_MIN,673
num__var_35,672
num__REC_QTD_PLAT_AUTOC,672
num__FAT_VLR_FAT_CREDITO_TOTAL,655
num__REC_TAXA_CARTAO_PROMO,635
num__FAT_TAXA_MULTA_JUROS,633
num__FAT_VLR_FAT_ABERTO_MAX,629
num__PAG_VLR_TIPO_O,624
num__PAG_VLR_ALOCACAO_PYM,602
num__FAT_VLR_FAT_CREDITO_MEDIO,595
num__var_82,595
num__REC_TAXA_PLAT_AUTOC,589
num__FAT_VLR_FAT_BRUTO_STDDEV,589
num__FAT_VLR_FAT_ABERTO_LIQ_MEDIO,578
num__FAT_AMPLITUDE_RELATIVA_FAT,578
num__FAT_TAXA_CREDITO_BRUTO,577
num__REC_TAXA_PLAT_PREPG,568
num__var_66,561
num__var_89,556
num__PAG_VLR_PAGAMENTO_FATURA_STDDEV,554
num__FAT_INDICE_CONCENTRACAO_FAT,553
num__var_07,552
num__PAG_VLR_PAGAMENTO_CREDITO_MAX,547
num__FAT_VLR_FAT_AUTOC,542
num__REC_TAXA_STATUS_A,536
num__var_05,526
num__var_61,521
num__FAT_DIAS_ATRASO_MAX,521
num__REC_TAXA_STATUS_ZB1,520
num__var_16,520
num__REC_QTD_INSTITUICOES,517
num__FAT_VLR_FAT_LIQUIDO_MEDIO,501
num__PAG_VLR_JUROS_MULTAS_MEDIO,501
num__FAT_TAXA_ATRASO,488
num__PAG_TAXA_JUROS_SOBRE_PAGAMENTO,483
num__PAG_TAXA_FORMA_PB,481
num__FAT_DIAS_MIN_CRIACAO_VENCIMENTO,465
num__REC_QTD_CARTAO_ONLINE,454
num__PAG_VLR_STATUS_R,440
num__PAG_TAXA_STATUS_R,439
num__PAG_TAXA_PAGAMENTOS_COM_JUROS,415
num__FAT_VLR_FAT_LIQUIDO_TOTAL,415
num__var_08,410
num__FAT_DIAS_MAX_CRIACAO_VENCIMENTO,393
num__FAT_VLR_PRIMEIRA_FAT,391
num__var_73,376
num__PAG_TAXA_FORMA_CA,361
num__FAT_DIAS_ATRASO_MIN,357
num__var_02,344
num__REC_QTD_PLANOS,334
num__FAT_QTD_FATURAS_SEM_PDD,325
num__PAG_VLR_ORIGINAL_PAGAMENTO_TOTAL,325
num__var_71,319
num__FAT_VLR_MEDIO_PRIMEIRA_FAT,312
num__FAT_QTD_FAT_AUTOC,312
num__FAT_TAXA_PRIMEIRA_FAT,308
num__FAT_QTD_FATURAS_NAO_ISENTAS,279
num__REC_QTD_CARTAO_CHIPPRE,271
num__PAG_VLR_BAIXA_ATIVIDADE_TOTAL,267
num__var_72,247
num__FAT_QTD_FATURAS,237
num__PAG_VLR_TIPO_D,237
num__REC_QTD_STATUS_ZB1,233
num__REC_QTD_SOS,210
num__PAG_QTD_STATUS_R,206
num__FAT_QTD_FAT_SEM_PLATAFORMA,199
num__PAG_TAXA_FORMA_PA,197
num__PAG_TAXA_FORMA_DD,193
num__FAT_VLR_FAT_POSPG,173
num__PAG_VLR_FORMA_PA,166
num__FAT_QTD_FAT_POSPG,163
num__FAT_QTD_FATURAS_ATRASADAS,140
num__FAT_QTD_FATURAS_PRIMEIRA,140
num__PAG_QTD_FORMA_DD,125
num__FAT_VLR_MEDIO_PDD,84
num__REC_QTD_TIPOS_RECARGA,71
num__PAG_QTD_FORMA_PA,46
num__FAT_VLR_MEDIO_WO,24
