feature,importance
num__TARGET_SCORE_02,0.2970652580009298
num__TARGET_SCORE_01,0.17963615611150008
num__REC_SCORE_RISCO,0.031328686901526535
num__REC_TAXA_SOS,0.026412176539731706
num__REC_SHARE_CARTAO_ONLINE,0.02615819122813113
num__var_05,0.021465537084576873
num__REC_VLR_CREDITO_MIN,0.02113795657916963
num__REC_TAXA_STATUS_A,0.015513006573380405
num__REC_TAXA_STATUS_ZB1,0.015378463158537178
num__REC_QTD_SOS,0.015285135759258703
num__PAG_VLR_TICKET_MEDIO_CONTRATO,0.014337113366602672
num__FAT_DIAS_DESDE_ATIVACAO_CONTA,0.01380465799153867
num__FAT_TAXA_PRIMEIRA_FAT,0.011644233280252698
num__REC_QTD_STATUS_ZB1,0.009877499733166022
num__PAG_VLR_ALOCACAO_PYM,0.009834214818682616
num__REC_COEF_VARIACAO_CREDITO,0.00907620566548621
num__PAG_VLR_BAIXA_ATIVIDADE_TOTAL,0.008582189503972139
num__REC_VLR_BONUS_TOTAL,0.008167749896841759
num__REC_TAXA_CARTAO_ONLINE,0.008087557044979541
num__REC_TAXA_CARTAO_PROMO,0.007610751081709471
num__REC_INDICE_CONCENTRACAO_CREDITO,0.007553428053520841
num__PAG_VLR_ORIGINAL_PAGAMENTO_TOTAL,0.00719691284737601
num__FAT_VLR_PRIMEIRA_FAT,0.0070479515499949465
num__REC_QTD_DIAS_RECARGA,0.007035829096486377
num__var_35,0.006735747899169144
num__REC_VLR_CREDITO_TOTAL,0.006689609731321235
num__REC_QTD_CLIENTES_DW,0.006633227309775355
num__REC_VLR_REAL_STDDEV,0.006570077478214729
num__REC_QTD_RECARGAS_TOTAL,0.006087324863339936
num__PAG_TAXA_JUROS_SOBRE_PAGAMENTO,0.006017638722119381
num__FAT_QTD_FATURAS_PRIMEIRA,0.006008612853252351
num__REC_QTD_CARTAO_ONLINE,0.005900005803579754
num__REC_QTD_CARTAO_CHIPPRE,0.005681304733108578
num__var_34,0.005047003438802794
num__REC_COEF_VARIACAO_REAL,0.00501391824126878
num__PAG_COEF_VARIACAO_PAGAMENTO,0.004784956362130349
num__REC_QTD_PLAT_AUTOC,0.004470176663887618
num__var_50,0.004427037417604806
num__FAT_TAXA_MULTA_JUROS,0.004319315430645082
num__REC_TAXA_PLAT_PREPG,0.004295945825587281
num__PAG_VLR_JUROS_MULTAS_MEDIO,0.004160018596529975
num__FAT_DIAS_ATRASO_MAX,0.0041437658908301455
num__var_41,0.004074390415647761
num__PAG_TAXA_PAGAMENTOS_COM_JUROS,0.003916148382054069
num__FAT_AMPLITUDE_RELATIVA_FAT,0.0038170512505292394
num__REC_DIAS_DESDE_ULTIMA_RECARGA,0.00379652399563468
num__REC_QTD_TIPOS_RECARGA,0.0037588106173619164
num__REC_QTD_PLANOS,0.0037585919060538105
num__PAG_VLR_PAGAMENTO_FATURA_STDDEV,0.0037114589533509606
num__REC_RATIO_BONUS_CREDITO,0.0036775633462950313
num__REC_FREQ_RECARGA_DIARIA,0.0034352143248769077
num__FAT_DIAS_MAX_CRIACAO_VENCIMENTO,0.0034072327255311088
num__PAG_VLR_STATUS_R,0.0033474342262446175
num__FAT_DIAS_ATRASO_MIN,0.003303865854546637
num__REC_VLR_CREDITO_STDDEV,0.0032121613984371898
num__REC_TAXA_PLAT_AUTOC,0.003031349095313375
num__FAT_DIAS_MIN_CRIACAO_VENCIMENTO,0.0027796311988706637
num__FAT_DIAS_ATRASO_MEDIO,0.002767562516683796
num__FAT_QTD_FATURAS_NAO_ISENTAS,0.002527905617634534
num__PAG_VLR_TIPO_O,0.002527731453588489
num__FAT_VLR_FAT_BRUTO_STDDEV,0.0025152925343244134
num__FAT_TAXA_ATRASO,0.00237491756056439
num__PAG_VLR_PAGAMENTO_CREDITO_MAX,0.002280594077903639
num__PAG_DIAS_DESDE_ULTIMA_FATURA,0.002270078657247491
num__var_73,0.002265212152461219
num__var_16,0.002259476649675233
num__var_62,0.0020990501515992777
num__PAG_VLR_TIPO_D,0.002067875921161251
num__PAG_QTD_STATUS_R,0.0019405347042652135
num__var_32,0.0018987894047300406
num__FAT_QTD_FAT_AUTOC,0.0018980745167697828
num__PAG_VLR_PAGAMENTO_CREDITO_MEDIO,0.0018780382645229912
num__FAT_VLR_FAT_CREDITO_MEDIO,0.0017949267341354027
num__FAT_INDICE_CONCENTRACAO_FAT,0.0017093003672572595
num__PAG_TAXA_FORMA_DD,0.001651049548280743
num__FAT_QTD_FATURAS,0.0016266539090871604
num__PAG_TAXA_STATUS_R,0.00154575249155814
num__var_61,0.0015181575136415247
num__FAT_VLR_FAT_AUTOC,0.001461124283205323
num__FAT_QTD_FATURAS_SEM_PDD,0.0014530886410223495
num__FAT_VLR_FAT_LIQUIDO_TOTAL,0.0013982521794216939
num__PAG_TAXA_FORMA_PA,0.001377552896364595
num__PAG_VLR_FORMA_PA,0.001334118890938622
num__FAT_TAXA_CREDITO_BRUTO,0.0012367573138379365
num__var_66,0.0012260178560009464
num__var_82,0.0011780097894948957
num__FAT_VLR_FAT_CREDITO_TOTAL,0.0011350066669405506
num__PAG_QTD_FORMA_DD,0.001131902284070725
num__PAG_TAXA_FORMA_CA,0.0010750991503854957
num__REC_QTD_INSTITUICOES,0.0010570931964903772
num__PAG_TAXA_FORMA_PB,0.0010035687171672204
num__var_67,0.0010012895201364771
num__FAT_VLR_FAT_ABERTO_MAX,0.0009762080092979729
