feature,importance
num__TARGET_SCORE_02,0.1689017
num__TARGET_SCORE_01,0.06850611
num__FAT_TAXA_PRIMEIRA_FAT,0.03015897
num__REC_TAXA_SOS,0.020916298
num__REC_QTD_CLIENTES_DW,0.019334007
num__REC_SCORE_RISCO,0.019134985
num__REC_TAXA_STATUS_A,0.018268056
num__var_05,0.018229404
num__REC_VLR_CREDITO_MIN,0.017347312
num__FAT_VLR_PRIMEIRA_FAT,0.017114116
num__REC_SHARE_CARTAO_ONLINE,0.016798286
num__REC_QTD_STATUS_ZB1,0.015030932
num__REC_QTD_CARTAO_CHIPPRE,0.014679911
num__FAT_DIAS_ATRASO_MIN,0.014608177
num__REC_QTD_PLANOS,0.014289388
num__FAT_QTD_FATURAS_PRIMEIRA,0.01381245
num__FAT_DIAS_MAX_CRIACAO_VENCIMENTO,0.013100328
num__PAG_VLR_TICKET_MEDIO_CONTRATO,0.012710114
num__var_73,0.0103278775
num__FAT_DIAS_MIN_CRIACAO_VENCIMENTO,0.009322167
num__REC_TAXA_CARTAO_ONLINE,0.009237344
num__REC_TAXA_STATUS_ZB1,0.009179901
num__REC_VLR_BONUS_TOTAL,0.009106698
num__var_82,0.008482402
num__PAG_TAXA_FORMA_PA,0.008368242
num__REC_QTD_PLAT_AUTOC,0.0080063315
num__REC_TAXA_PLAT_PREPG,0.007998349
num__var_50,0.0075510065
num__PAG_VLR_ALOCACAO_PYM,0.007417033
num__REC_DIAS_DESDE_ULTIMA_RECARGA,0.0070726476
num__PAG_VLR_STATUS_R,0.0069728685
num__REC_QTD_SOS,0.0068835123
num__FAT_TAXA_MULTA_JUROS,0.006879058
num__var_35,0.006860583
num__REC_TAXA_PLAT_AUTOC,0.0068602744
num__PAG_VLR_TIPO_O,0.0068356474
num__var_16,0.006793585
num__REC_QTD_RECARGAS_TOTAL,0.00670492
num__REC_VLR_CREDITO_TOTAL,0.006697509
num__REC_INDICE_CONCENTRACAO_CREDITO,0.006650771
num__REC_QTD_CARTAO_ONLINE,0.0064602643
num__REC_COEF_VARIACAO_CREDITO,0.0063939947
num__FAT_DIAS_ATRASO_MAX,0.0062387986
num__var_89,0.006095235
num__var_34,0.005767159
num__PAG_QTD_FORMA_PA,0.0057215253
num__REC_VLR_REAL_STDDEV,0.0056658024
num__PAG_VLR_BAIXA_ATIVIDADE_TOTAL,0.005629607
num__REC_QTD_DIAS_RECARGA,0.00560814
num__PAG_VLR_FORMA_PA,0.0055321376
num__FAT_VLR_FAT_AUTOC,0.0055118543
num__var_41,0.005442122
num__PAG_TAXA_PAGAMENTOS_COM_JUROS,0.0054397676
num__PAG_COEF_VARIACAO_PAGAMENTO,0.0054267123
num__PAG_VLR_ORIGINAL_PAGAMENTO_TOTAL,0.005336423
num__PAG_VLR_TIPO_D,0.005198584
num__REC_VLR_CREDITO_STDDEV,0.005167669
num__FAT_DIAS_DESDE_ATIVACAO_CONTA,0.0051425365
num__PAG_TAXA_FORMA_DD,0.0050467574
num__PAG_QTD_FORMA_DD,0.00504135
num__FAT_QTD_FAT_AUTOC,0.005023458
num__PAG_VLR_PAGAMENTO_FATURA_STDDEV,0.0049847304
num__PAG_TAXA_JUROS_SOBRE_PAGAMENTO,0.004904338
num__var_08,0.004838432
num__FAT_AMPLITUDE_RELATIVA_FAT,0.004790612
num__var_66,0.0047871834
num__REC_FREQ_RECARGA_DIARIA,0.0046978146
num__var_32,0.0046873554
num__PAG_VLR_JUROS_MULTAS_MEDIO,0.0046733385
num__REC_QTD_INSTITUICOES,0.0045460807
num__var_67,0.0045423694
num__PAG_DIAS_DESDE_ULTIMA_FATURA,0.004475259
num__REC_COEF_VARIACAO_REAL,0.004461945
num__REC_RATIO_BONUS_CREDITO,0.0044579892
num__var_72,0.0044359607
num__PAG_VLR_PAGAMENTO_CREDITO_MEDIO,0.004392731
num__FAT_DIAS_ATRASO_MEDIO,0.004361337
num__PAG_QTD_STATUS_R,0.0042743078
num__var_62,0.0042205644
num__var_71,0.0041991337
num__PAG_TAXA_FORMA_CA,0.004152554
num__FAT_QTD_FAT_POSPG,0.0041468316
num__FAT_INDICE_CONCENTRACAO_PLATAFORMA,0.004104736
num__REC_TAXA_CARTAO_PROMO,0.004050469
num__FAT_VLR_FAT_LIQUIDO_TOTAL,0.0040057763
num__FAT_QTD_FATURAS,0.004001252
num__FAT_QTD_FATURAS_SEM_PDD,0.0039807362
num__FAT_TAXA_ATRASO,0.0039559575
num__PAG_VLR_PAGAMENTO_CREDITO_MAX,0.003948646
num__var_07,0.0039382116
num__var_61,0.003926773
num__FAT_INDICE_CONCENTRACAO_FAT,0.0038199148
num__FAT_VLR_FAT_BRUTO_STDDEV,0.0037797692
