feature_transformed,mean_abs_shap,feature,book,pct_importance,cumulative_pct,rank
num__TARGET_SCORE_02,0.5247003878739654,TARGET_SCORE_02,Base (Telco+Score),0.2919079372139345,0.2919079372139345,1
num__TARGET_SCORE_01,0.12200826219072236,TARGET_SCORE_01,Base (Telco+Score),0.06787717516935686,0.35978511238329136,2
num__REC_SCORE_RISCO,0.08419494222255013,REC_SCORE_RISCO,Recarga (REC_),0.046840392109514725,0.4066255044928061,3
num__REC_TAXA_STATUS_A,0.04480965804457417,REC_TAXA_STATUS_A,Recarga (REC_),0.024929074095129806,0.4315545785879359,4
cat__45,0.04095144847710059,REC_SCORE_RISCO,Recarga (REC_),0.02278262628947122,0.4543372048774071,5
num__REC_QTD_LINHAS,0.04078356991476425,REC_QTD_LINHAS,Recarga (REC_),0.022689229970416447,0.47702643484782353,6
num__REC_DIAS_ENTRE_RECARGAS,0.03440315393291472,REC_DIAS_ENTRE_RECARGAS,Recarga (REC_),0.01913959648267469,0.49616603133049825,7
num__REC_QTD_INST_DIST_REG,0.03196028807703577,REC_QTD_INST_DIST_REG,Recarga (REC_),0.01778055054072417,0.5139465818712224,8
num__REC_DIAS_DESDE_ULTIMA_RECARGA,0.030970710398577427,REC_DIAS_DESDE_ULTIMA_RECARGA,Recarga (REC_),0.017230016206259153,0.5311765980774816,9
num__REC_TAXA_CARTAO_ONLINE,0.029524866017520968,REC_TAXA_CARTAO_ONLINE,Recarga (REC_),0.016425645825446842,0.5476022439029284,10
cat__29,0.02886996799133081,REC_QTD_STATUS_ZB2,Recarga (REC_),0.01606130469605441,0.5636635485989828,11
num__REC_QTD_CARTAO_ONLINE,0.02434366408715817,REC_QTD_CARTAO_ONLINE,Recarga (REC_),0.013543174223111472,0.5772067228220943,12
cat__43,0.02397341297930097,REC_COEF_VARIACAO_REAL,Recarga (REC_),0.013337191457244466,0.5905439142793387,13
cat__0,0.02215366057849104,var_26,Base (Telco+Score),0.012324803851218667,0.6028687181305574,14
num__FAT_DIAS_MEDIO_CRIACAO_VENCIMENTO,0.02086190599514649,FAT_DIAS_MEDIO_CRIACAO_VENCIMENTO,Faturamento (FAT_),0.01160615865002372,0.6144748767805811,15
num__REC_VLR_CREDITO_STDDEV,0.020064523407252347,REC_VLR_CREDITO_STDDEV,Recarga (REC_),0.011162548712273115,0.6256374254928542,16
num__REC_TAXA_PLAT_PREPG,0.019640195716908986,REC_TAXA_PLAT_PREPG,Recarga (REC_),0.010926481380032766,0.6365639068728869,17
num__REC_VLR_REAL_STDDEV,0.01816378734544622,REC_VLR_REAL_STDDEV,Recarga (REC_),0.01010510725460978,0.6466690141274967,18
num__REC_QTD_CARTAO_CHIPPRE,0.017889882286712115,REC_QTD_CARTAO_CHIPPRE,Recarga (REC_),0.009952724937890891,0.6566217390653876,19
num__REC_QTD_PLANOS,0.01740696562439988,REC_QTD_PLANOS,Recarga (REC_),0.009684062649850686,0.6663058017152382,20
num__REC_QTD_PLAT_AUTOC,0.016068939780485358,REC_QTD_PLAT_AUTOC,Recarga (REC_),0.008939675237410197,0.6752454769526485,21
num__PAG_QTD_PAGAMENTOS_TOTAL,0.01594189134050261,PAG_QTD_PAGAMENTOS_TOTAL,Pagamento (PAG_),0.008868994046965716,0.6841144709996142,22
num__FAT_QTD_FATURAS_PRIMEIRA,0.015688523868878302,FAT_QTD_FATURAS_PRIMEIRA,Faturamento (FAT_),0.0087280374597243,0.6928425084593385,23
num__var_73,0.015517475667784227,var_73,Base (Telco+Score),0.008632877767260875,0.7014753862265993,24
num__REC_COEF_VARIACAO_REAL,0.015067792595634493,REC_COEF_VARIACAO_REAL,Recarga (REC_),0.00838270440923625,0.7098580906358356,25
num__REC_QTD_STATUS_ZB1,0.015009536506865684,REC_QTD_STATUS_ZB1,Recarga (REC_),0.008350294647216521,0.7182083852830521,26
num__FAT_TAXA_PRIMEIRA_FAT,0.014804620059328514,FAT_TAXA_PRIMEIRA_FAT,Faturamento (FAT_),0.008236292944751322,0.7264446782278035,27
num__FAT_DIAS_ATRASO_MIN,0.014192258516850315,FAT_DIAS_ATRASO_MIN,Faturamento (FAT_),0.007895616248440413,0.7343402944762438,28
num__PAG_TAXA_PAGAMENTOS_COM_JUROS,0.013185829403127722,PAG_TAXA_PAGAMENTOS_COM_JUROS,Pagamento (PAG_),0.0073357069109817605,0.7416760013872256,29
num__FAT_DIAS_MAX_CRIACAO_VENCIMENTO,0.012247155856332282,FAT_DIAS_MAX_CRIACAO_VENCIMENTO,Faturamento (FAT_),0.0068134922050376865,0.7484894935922632,30
cat__32,0.011811504810619027,REC_QTD_CARTAO_CHIPPRE,Recarga (REC_),0.006571125320929729,0.755060618913193,31
num__REC_COEF_VARIACAO_CREDITO,0.011379414534260248,REC_COEF_VARIACAO_CREDITO,Recarga (REC_),0.00633073940893687,0.7613913583221299,32
num__PAG_DIAS_ENTRE_FATURAS,0.0113542348347565,PAG_DIAS_ENTRE_FATURAS,Pagamento (PAG_),0.006316731120946864,0.7677080894430768,33
cat__35,0.010853877605754061,REC_DIAS_DESDE_ULTIMA_RECARGA,Recarga (REC_),0.0060383660768881095,0.7737464555199649,34
num__FAT_DIAS_DESDE_ATIVACAO_CONTA,0.010281352564477347,FAT_DIAS_DESDE_ATIVACAO_CONTA,Faturamento (FAT_),0.005719851725336778,0.7794663072453016,35
num__var_85,0.010216936527931531,var_85,Base (Telco+Score),0.005684014983481533,0.7851503222287831,36
num__REC_FREQ_RECARGA_DIARIA,0.009771115218048052,REC_FREQ_RECARGA_DIARIA,Recarga (REC_),0.005435990049744757,0.7905863122785278,37
num__FAT_DIAS_DESDE_ULTIMA_FAT,0.00927005045728907,FAT_DIAS_DESDE_ULTIMA_FAT,Faturamento (FAT_),0.005157231382695932,0.7957435436612238,38
num__FAT_DIAS_DESDE_PRIMEIRA_FAT,0.00912758837181167,FAT_DIAS_DESDE_PRIMEIRA_FAT,Faturamento (FAT_),0.005077975078595597,0.8008215187398194,39
cat__50,0.009079181708517564,PAG_QTD_FATURAS_DISTINTAS,Pagamento (PAG_),0.00505104487317523,0.8058725636129946,40
cat__2,0.008986532152788362,var_82,Base (Telco+Score),0.00499950090385155,0.8108720645168462,41
cat__21,0.00892363579847812,REC_VLR_CREDITO_STDDEV,Recarga (REC_),0.004964509610783572,0.8158365741276298,42
num__var_82,0.008170223284087674,var_82,Base (Telco+Score),0.004545361658867619,0.8203819357864974,43
num__PAG_DIAS_DESDE_ULTIMA_FATURA,0.007646141908924531,PAG_DIAS_DESDE_ULTIMA_FATURA,Pagamento (PAG_),0.004253798098611852,0.8246357338851092,44
cat__37,0.007601164847654063,REC_TAXA_PLAT_CONTROLE,Recarga (REC_),0.004228775892642832,0.8288645097777521,45
num__var_90,0.007392696334918773,var_90,Base (Telco+Score),0.004112798060468573,0.8329773078382207,46
num__PAG_TAXA_FORMA_PA,0.007082633699150854,PAG_TAXA_FORMA_PA,Pagamento (PAG_),0.003940300104481032,0.8369176079427016,47
cat__57,0.0070755567362594555,PAG_QTD_PAGAMENTOS_COM_JUROS,Pagamento (PAG_),0.0039363629592318395,0.8408539709019335,48
num__PAG_QTD_AREAS,0.006990440538473216,PAG_QTD_AREAS,Pagamento (PAG_),0.0038890100426084147,0.8447429809445419,49
num__FAT_DIAS_ATRASO_MEDIO,0.00690100638058982,FAT_DIAS_ATRASO_MEDIO,Faturamento (FAT_),0.003839254903966363,0.8485822358485083,50
num__REC_QTD_RECARGAS_TOTAL,0.0065459250164624835,REC_QTD_RECARGAS_TOTAL,Recarga (REC_),0.0036417115612493796,0.8522239474097577,51
