MODELO,CONJ FEATURES,BASE,AUC,KS
LR,Score1,TREINO - 202410,0.68486,0.27785
LR,Score1,TREINO - 202411,0.68609,0.27632
LR,Score1,TREINO - 202412,0.67015,0.25955
LR,Score1,TREINO / VAL - 202501,0.67048,0.25604
LR,Score1,TREINO (CONS),0.67777,0.27603
LR,Score1,OOS - 202410,0.68568,0.27904
LR,Score1,OOS - 202411,0.68505,0.27753
LR,Score1,OOS - 202412,0.67148,0.2589
LR,Score1,OOS - 202501,0.67068,0.25671
LR,Score1,OOS (CONS),0.67811,0.26795
LR,Score1,OOT - 202502,0.67134,0.25517
LR,Score1,OOT - 202503,0.67584,0.26123
LR,Score1,OOT GERAL (CONS),0.67368,0.25832
LGBM,Score1,TREINO - 202410,0.68644,0.28875
LGBM,Score1,TREINO - 202411,0.68799,0.28523
LGBM,Score1,TREINO - 202412,0.67164,0.26244
LGBM,Score1,TREINO / VAL - 202501,0.67207,0.2595
LGBM,Score1,TREINO (CONS),0.67941,0.28183
LGBM,Score1,OOS - 202410,0.68664,0.28074
LGBM,Score1,OOS - 202411,0.68625,0.28302
LGBM,Score1,OOS - 202412,0.67196,0.2594
LGBM,Score1,OOS - 202501,0.67201,0.25984
LGBM,Score1,OOS (CONS),0.67911,0.27029
LGBM,Score1,OOT - 202502,0.67227,0.25764
LGBM,Score1,OOT - 202503,0.67661,0.26408
LGBM,Score1,OOT GERAL (CONS),0.67452,0.26081
LR,Score1+Score2,TREINO - 202410,0.72612,0.33525
LR,Score1+Score2,TREINO - 202411,0.72651,0.33381
LR,Score1+Score2,TREINO - 202412,0.70998,0.30777
LR,Score1+Score2,TREINO / VAL - 202501,0.71345,0.31328
LR,Score1+Score2,TREINO (CONS),0.71896,0.32161
LR,Score1+Score2,OOS - 202410,0.72604,0.33526
LR,Score1+Score2,OOS - 202411,0.72674,0.33455
LR,Score1+Score2,OOS - 202412,0.71065,0.30966
LR,Score1+Score2,OOS - 202501,0.71298,0.31218
LR,Score1+Score2,OOS (CONS),0.71905,0.32246
LR,Score1+Score2,OOT - 202502,0.69976,0.29231
LR,Score1+Score2,OOT - 202503,0.70877,0.30701
LR,Score1+Score2,OOT GERAL (CONS),0.70442,0.29972
LGBM,Score1+Score2,TREINO - 202410,0.72918,0.34013
LGBM,Score1+Score2,TREINO - 202411,0.72914,0.33783
LGBM,Score1+Score2,TREINO - 202412,0.71314,0.3122
LGBM,Score1+Score2,TREINO / VAL - 202501,0.71651,0.31767
LGBM,Score1+Score2,TREINO (CONS),0.72192,0.32757
LGBM,Score1+Score2,OOS - 202410,0.72738,0.33865
LGBM,Score1+Score2,OOS - 202411,0.72793,0.3377
LGBM,Score1+Score2,OOS - 202412,0.7117,0.31368
LGBM,Score1+Score2,OOS - 202501,0.71425,0.3161
LGBM,Score1+Score2,OOS (CONS),0.72025,0.32574
LGBM,Score1+Score2,OOT - 202502,0.70183,0.29947
LGBM,Score1+Score2,OOT - 202503,0.71066,0.31284
LGBM,Score1+Score2,OOT GERAL (CONS),0.70639,0.30621
LR,+Cadastro,TREINO - 202410,0.72662,0.33671
LR,+Cadastro,TREINO - 202411,0.7269,0.3336
LR,+Cadastro,TREINO - 202412,0.71045,0.30848
LR,+Cadastro,TREINO / VAL - 202501,0.71404,0.31475
LR,+Cadastro,TREINO (CONS),0.71944,0.32255
LR,+Cadastro,OOS - 202410,0.7265,0.33524
LR,+Cadastro,OOS - 202411,0.72715,0.33503
LR,+Cadastro,OOS - 202412,0.71097,0.31003
LR,+Cadastro,OOS - 202501,0.71342,0.31246
LR,+Cadastro,OOS (CONS),0.71945,0.32241
LR,+Cadastro,OOT - 202502,0.69975,0.2917
LR,+Cadastro,OOT - 202503,0.70899,0.30692
LR,+Cadastro,OOT GERAL (CONS),0.70452,0.29945
LGBM,+Cadastro,TREINO - 202410,0.73176,0.34563
LGBM,+Cadastro,TREINO - 202411,0.73166,0.34175
LGBM,+Cadastro,TREINO - 202412,0.71562,0.31916
LGBM,+Cadastro,TREINO / VAL - 202501,0.71926,0.32473
LGBM,+Cadastro,TREINO (CONS),0.72451,0.33223
LGBM,+Cadastro,OOS - 202410,0.7289,0.34193
LGBM,+Cadastro,OOS - 202411,0.72935,0.34146
LGBM,+Cadastro,OOS - 202412,0.71324,0.31617
LGBM,+Cadastro,OOS - 202501,0.71619,0.3214
LGBM,+Cadastro,OOS (CONS),0.72187,0.32983
LGBM,+Cadastro,OOT - 202502,0.70308,0.30211
LGBM,+Cadastro,OOT - 202503,0.71195,0.31619
LGBM,+Cadastro,OOT GERAL (CONS),0.70766,0.30933
LR,+Telco,TREINO - 202410,0.72723,0.33774
LR,+Telco,TREINO - 202411,0.72748,0.33445
LR,+Telco,TREINO - 202412,0.71108,0.31006
LR,+Telco,TREINO / VAL - 202501,0.71451,0.31551
